cohort_mindex,base_period,mindex,att,se,ci_low,ci_high,zero_not_in_cband
256,240,241,0.019714395566637365,0.010841897796660924,-0.0015353336388822143,0.04096412477215694,
256,241,242,-0.012487398309484846,0.01095617799414469,-0.03396111258621873,0.008986315967249038,
256,242,243,0.004391488841339184,0.010759208540942415,-0.01669617240106369,0.02547915008374206,
256,243,244,-0.013074445270344343,0.010892171582140698,-0.03442270928477077,0.008273818744082085,
256,244,245,-0.002492565454559499,0.010463971975627396,-0.023001573662025633,0.018016442752906633,
256,245,246,0.010601396842423935,0.010482968454275047,-0.009944843779024676,0.031147637463872547,
256,246,247,0.01313513779797934,0.010407623378983162,-0.007263429189484718,0.0335337047854434,
256,247,248,-0.0056412676322227595,0.010707591460718226,-0.02662776125639911,0.015345225991953593,
256,248,249,-0.004017508667000425,0.010503929171143326,-0.024604831538601005,0.01656981420460015,
256,249,250,-0.0013006442708053609,0.010792617929260515,-0.022453786711057227,0.019852498169446505,
256,250,251,0.003651662064003924,0.010671891847821533,-0.01726486160463289,0.024568185732640736,
256,251,252,-0.01798837210572067,0.010771241216010238,-0.03909961695789416,0.0031228727464528115,
256,252,253,0.010063138228282205,0.01075132135351685,-0.01100906441082725,0.03113534086739166,
256,253,254,-0.007936081888109476,0.010534935125135737,-0.02858417531284149,0.012712011536622537,
256,254,255,0.004452198560488234,0.010641804696323174,-0.016405355374814395,0.02530975249579086,
256,255,256,0.3368843748450898,0.010942484823313054,0.3154374986900201,0.35833125100015956,*
256,255,257,0.5094743647035752,0.010737642861764337,0.4884289714156635,0.5305197579914869,*
256,255,258,0.5724825728190999,0.010817257631339502,0.5512811374501834,0.5936840081880164,*
256,255,259,0.6311196138783955,0.011065668601834059,0.6094313019539451,0.652807925802846,*
256,255,260,0.6378017927652888,0.011235620624668445,0.6157803809969833,0.6598232045335943,*
256,255,261,0.6568592267579725,0.010720630850389776,0.6358471763996595,0.6778712771162855,*
256,255,262,0.6491530785978091,0.010545874408817296,0.6284835445710446,0.6698226126245737,*
256,255,263,0.6544744996713604,0.010720701886108798,0.6334623100855965,0.6754866892571243,*
256,255,264,0.6692721036078227,0.010526526562216879,0.6486404906635734,0.689903716552072,*
256,255,265,0.6667276826451639,0.01099977615633763,0.6451685175407398,0.688286847749588,*
256,255,266,0.6489359353429583,0.010705481140690863,0.6279535778700315,0.6699182928158852,*
256,255,267,0.6766369581753602,0.010853103551741536,0.655365266093463,0.6979086502572573,*
256,255,268,0.6577047582124125,0.010708967357226451,0.6367155678806335,0.6786939485441914,*
256,255,269,0.6819170611443427,0.010376474940184514,0.6615795439750987,0.7022545783135867,*
256,255,270,0.6738044034406055,0.010939698639737733,0.6523629881049978,0.6952458187762133,*
256,255,271,0.6691457456501763,0.01077561848405972,0.6480259215102752,0.6902655697900774,*
256,255,272,0.674548801964571,0.010619345477789689,0.6537352672887149,0.6953623366404271,*
256,255,273,0.6735438243282069,0.010760349969309085,0.6524539259273144,0.6946337227290994,*
256,255,274,0.6693436348275723,0.010964730114695212,0.647853158702568,0.6908341109525766,*
256,255,275,0.6771592714179767,0.010619330102003825,0.6563457668781072,0.6979727759578462,*
258,240,241,0.015525578323558806,0.011489774725768512,-0.006993966329426053,0.038045122976543666,
258,241,242,-0.01632216015346554,0.011530685523933385,-0.03892188849743234,0.006277568190501258,
258,242,243,-0.007152529830955303,0.011676048198572377,-0.030037163781910937,0.015732104120000333,
258,243,244,0.010660767461845262,0.011948210868659402,-0.0127572955204172,0.03407883044410773,
258,244,245,-0.009197946978814361,0.011738018658408393,-0.032204040799153975,0.013808146841525253,
258,245,246,0.01635469891617658,0.011637448442277648,-0.006454280902629367,0.03916367873498253,
258,246,247,-0.00732299426041434,0.011787023534685623,-0.030425135873324165,0.015779147352495488,
258,247,248,-0.005422059150944361,0.011585490436737574,-0.028129203150183225,0.017285084848294503,
258,248,249,0.011714748598595386,0.011457294503598336,-0.010741135988726072,0.03417063318591684,
258,249,250,-0.0045893272311477865,0.01133278884125339,-0.02680118520440184,0.01762253074210627,
258,250,251,0.003393253577544325,0.012268385466225834,-0.02065234008471295,0.027438847239801598,
258,251,252,-0.013480424411428564,0.011902843491881332,-0.03680956896913295,0.009848720146275821,
258,252,253,0.0010643283504923806,0.011331089260953033,-0.021144198506584142,0.023272855207568905,
258,253,254,-0.00037331868907203514,0.011770185705253434,-0.023442458762716945,0.02269582138457287,
258,254,255,0.012260351119500938,0.011062781808039795,-0.009422302793081963,0.03394300503208384,
258,255,256,-0.007407064764616876,0.011473932595040297,-0.029895559411936057,0.015081429882702306,
258,256,257,-0.0028431160148114304,0.011658642517006807,-0.02569363545677218,0.02000740342714932,
258,257,258,0.23307552039365953,0.011285977499372695,0.21095541096455964,0.25519562982275945,*
258,257,259,0.34876733168345014,0.01129335487329343,0.32663276286716514,0.37090190049973515,*
258,257,260,0.3938264893005793,0.01201591666785302,0.3702757253903528,0.41737725321080577,*
258,257,261,0.438225234693111,0.012234957697663992,0.4142451582533184,0.46220531113290353,*
258,257,262,0.4376412236790433,0.0115633256534345,0.4149775218568036,0.460304925501283,*
258,257,263,0.4435031107957604,0.012101201287501086,0.4197851921025885,0.46722102948893224,*
258,257,264,0.45562263338216896,0.011256016122143438,0.43356124717336564,0.4776840195909723,*
258,257,265,0.4617401309830347,0.01184859078817431,0.43851731977066,0.48496294219540936,*
258,257,266,0.4544437779273559,0.011595160786303856,0.4317176803912492,0.4771698754634626,*
258,257,267,0.46066806636414137,0.011854990939403601,0.4374327110858616,0.4839034216424211,*
258,257,268,0.4400100309459218,0.011861931985817718,0.41676107146665536,0.4632589904251882,*
258,257,269,0.45617767328733383,0.011527959168578994,0.4335832885016707,0.47877205807299694,*
258,257,270,0.47107521249596207,0.011872148007372492,0.447806229982383,0.49434419500954113,*
258,257,271,0.44125790621975797,0.011764703516221582,0.4181995110391719,0.464316301400344,*
258,257,272,0.44652032250869206,0.011765774503152755,0.423459828232293,0.4695808167850911,*
258,257,273,0.4521386963434947,0.011398145585460281,0.42979874150544833,0.47447865118154103,*
258,257,274,0.42764212364899895,0.011676296455027317,0.4047570031243327,0.4505272441736652,*
258,257,275,0.44740417609725197,0.011719054432704946,0.4244352514762858,0.47037310071821814,*
259,240,241,0.013843466250141497,0.011569711577882434,-0.008832751754024155,0.03651968425430715,
259,241,242,-0.011495657924911673,0.011744097704125303,-0.0345136664559168,0.011522350606093459,
259,242,243,-0.00053146624509805,0.011626562659380201,-0.023319110321481477,0.022256177831285376,
259,243,244,0.006546962988132091,0.012179235504630563,-0.017323899960175325,0.030417825936439505,
259,244,245,-0.016355127140491445,0.011808416982157607,-0.03949919913995151,0.00678894485896862,
259,245,246,0.02222815692710551,0.01163834240130326,-0.0005825750191942869,0.045038888873405306,
259,246,247,-0.006916700818061042,0.012087535781374118,-0.030607835611393533,0.016774433975271452,
259,247,248,0.0023456249668499718,0.011944725898886777,-0.021065607600170934,0.02575685753387088,
259,248,249,-0.004275644070885179,0.012062197044166575,-0.027917115851877162,0.019365827710106805,
259,249,250,-2.255374994779142e-05,0.011677018098724568,-0.022909088670270323,0.022863981170374737,
259,250,251,-0.007939360603319325,0.011724201607522551,-0.03091837350155013,0.015039652294911481,
259,251,252,0.001985729723339342,0.012044631084038042,-0.02162131340844685,0.025592772855125533,
259,252,253,0.013258575107073284,0.012044850530317001,-0.010348898131516208,0.036866048345662775,
259,253,254,0.001995939395061396,0.011677162316476575,-0.020890878186861,0.02488275697698379,
259,254,255,-0.009150564469753547,0.011196034670303763,-0.031094389193210697,0.012793260253703606,
259,255,256,0.008565835767681142,0.01168123751348199,-0.014328969053601773,0.031460640588964056,
259,256,257,-0.019245470745430687,0.0119876967557494,-0.04274092464428716,0.004249983153425785,
259,257,258,0.0020136664266015027,0.012399487739240324,-0.022288882969055512,0.026316215822258515,
259,258,259,0.19668454521821402,0.01159537126330799,0.17395803515475966,0.21941105528166838,*
259,258,260,0.273567265987285,0.011699414275306878,0.2506368353674697,0.29649769660710024,*
259,258,261,0.33355217509048213,0.011648878543171114,0.31072079268558533,0.3563835574953789,*
259,258,262,0.35543771035208355,0.011921353599005868,0.3320722866510651,0.378803134053102,*
259,258,263,0.3486770982869104,0.011463808106653081,0.32620844727219206,0.37114574930162875,*
259,258,264,0.36027571949540305,0.011891185752907856,0.33696942368622784,0.38358201530457825,*
259,258,265,0.35752224168314645,0.011940910434645947,0.33411848728862187,0.380925996077671,*
259,258,266,0.3616393166539727,0.011789583366129251,0.3385321578636269,0.3847464754443185,*
259,258,267,0.3653688667479326,0.011748276098616244,0.34234266871421204,0.3883950647816532,*
259,258,268,0.358266366601553,0.01200958120906293,0.33472801996238066,0.3818047132407253,*
259,258,269,0.3687969068107795,0.011892600435040417,0.3454878382755749,0.39210597534598407,*
259,258,270,0.3740642224467832,0.011457508918485635,0.3516079176140049,0.39652052727956155,*
259,258,271,0.3616427770770647,0.011784104557949036,0.3385463565534303,0.38473919760069913,*
259,258,272,0.36678857876324583,0.011223179885301054,0.34479155039604137,0.3887856071304503,*
259,258,273,0.37525920291582404,0.011437523087455298,0.3528420695920663,0.39767633623958176,*
259,258,274,0.36319133236676077,0.012006406581843078,0.3396592078826037,0.38672345685091786,*
259,258,275,0.3728410590339081,0.011728855605347022,0.34985292446755717,0.395829193600259,*
261,240,241,-0.0017386266617296952,0.013539278510997168,-0.028275124919941236,0.024797871596481846,
261,241,242,0.0037964996515493423,0.013405644191620188,-0.022478080153584795,0.030071079456683476,
261,242,243,0.00756174496503822,0.013421957947758125,-0.018744809214578842,0.033868299144655285,
261,243,244,0.007363380072598397,0.014224227691582636,-0.020515593910800878,0.035242354055997675,
261,244,245,-0.004721536042464802,0.013695785587841746,-0.03156478253461736,0.022121710449687755,
261,245,246,-0.0008380084832439992,0.014265005795316161,-0.028796906081318824,0.027120889114830828,
261,246,247,-0.007539076821401142,0.013712755473909054,-0.03441558367906737,0.019337430036265084,
261,247,248,0.009717822329319767,0.012427108828117277,-0.014638863405749852,0.034074508064389386,
